instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_celsius,atemp_celsius,hum_percent,windspeed_kmh,temp_bin,humidity_bin,is_weekend,month,year,windspeed_bin,time_period
16,2011-01-01,spring,2011,1,15,0,Sunday,0,2,0.44,0.4394,0.77,0.2985,40,70,110,18.04,21.97,77.0,19.999499999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Afternoon (12-18)
17,2011-01-01,spring,2011,1,16,0,Sunday,0,2,0.42,0.4242,0.82,0.2985,41,52,93,17.22,21.21,82.0,19.999499999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Afternoon (12-18)
18,2011-01-01,spring,2011,1,17,0,Sunday,0,2,0.44,0.4394,0.82,0.2836,15,52,67,18.04,21.97,82.0,19.0012,10-20°C,75-100%,True,1,2011,0-10 kmh,Afternoon (12-18)
19,2011-01-01,spring,2011,1,18,0,Sunday,0,3,0.42,0.4242,0.88,0.2537,9,26,35,17.22,21.21,88.0,16.997899999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Afternoon (12-18)
20,2011-01-01,spring,2011,1,19,0,Sunday,0,3,0.42,0.4242,0.88,0.2537,6,31,37,17.22,21.21,88.0,16.997899999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Evening (18-24)
21,2011-01-01,spring,2011,1,20,0,Sunday,0,2,0.4,0.4091,0.87,0.2537,11,25,36,16.400000000000002,20.455000000000002,87.0,16.997899999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Evening (18-24)
22,2011-01-01,spring,2011,1,21,0,Sunday,0,2,0.4,0.4091,0.87,0.194,3,31,34,16.400000000000002,20.455000000000002,87.0,12.998000000000001,10-20°C,75-100%,True,1,2011,0-10 kmh,Evening (18-24)
23,2011-01-01,spring,2011,1,22,0,Sunday,0,2,0.4,0.4091,0.94,0.2239,11,17,28,16.400000000000002,20.455000000000002,94.0,15.001299999999999,10-20°C,75-100%,True,1,2011,0-10 kmh,Evening (18-24)
24,2011-01-01,spring,2011,1,23,0,Sunday,0,2,0.46,0.4545,0.88,0.2985,15,24,39,18.86,22.725,88.0,19.999499999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Evening (18-24)
25,2011-01-02,spring,2011,1,0,0,Monday,0,2,0.46,0.4545,0.88,0.2985,4,13,17,18.86,22.725,88.0,19.999499999999998,10-20°C,75-100%,False,1,2011,0-10 kmh,Night (0-6)
26,2011-01-02,spring,2011,1,1,0,Monday,0,2,0.44,0.4394,0.94,0.2537,1,16,17,18.04,21.97,94.0,16.997899999999998,10-20°C,75-100%,False,1,2011,0-10 kmh,Night (0-6)
27,2011-01-02,spring,2011,1,2,0,Monday,0,2,0.42,0.4242,1.0,0.2836,1,8,9,17.22,21.21,100.0,19.0012,10-20°C,75-100%,False,1,2011,0-10 kmh,Night (0-6)
28,2011-01-02,spring,2011,1,3,0,Monday,0,2,0.46,0.4545,0.94,0.194,2,4,6,18.86,22.725,94.0,12.998000000000001,10-20°C,75-100%,False,1,2011,0-10 kmh,Night (0-6)
29,2011-01-02,spring,2011,1,4,0,Monday,0,2,0.46,0.4545,0.94,0.194,2,1,3,18.86,22.725,94.0,12.998000000000001,10-20°C,75-100%,False,1,2011,0-10 kmh,Night (0-6)
30,2011-01-02,spring,2011,1,6,0,Monday,0,3,0.42,0.4242,0.77,0.2985,0,2,2,17.22,21.21,77.0,19.999499999999998,10-20°C,75-100%,False,1,2011,0-10 kmh,Night (0-6)
31,2011-01-02,spring,2011,1,7,0,Monday,0,2,0.4,0.4091,0.76,0.194,0,1,1,16.400000000000002,20.455000000000002,76.0,12.998000000000001,10-20°C,75-100%,False,1,2011,0-10 kmh,Morning (6-12)
32,2011-01-02,spring,2011,1,8,0,Monday,0,3,0.4,0.4091,0.71,0.2239,0,8,8,16.400000000000002,20.455000000000002,71.0,15.001299999999999,10-20°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
33,2011-01-02,spring,2011,1,9,0,Monday,0,2,0.38,0.3939,0.76,0.2239,1,19,20,15.58,19.695,76.0,15.001299999999999,10-20°C,75-100%,False,1,2011,0-10 kmh,Morning (6-12)
34,2011-01-02,spring,2011,1,10,0,Monday,0,2,0.36,0.3485,0.81,0.2239,7,46,53,14.76,17.424999999999997,81.0,15.001299999999999,10-20°C,75-100%,False,1,2011,0-10 kmh,Morning (6-12)
35,2011-01-02,spring,2011,1,11,0,Monday,0,2,0.36,0.3333,0.71,0.2537,16,54,70,14.76,16.665,71.0,16.997899999999998,10-20°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
36,2011-01-02,spring,2011,1,12,0,Monday,0,2,0.36,0.3333,0.66,0.2985,20,73,93,14.76,16.665,66.0,19.999499999999998,10-20°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
37,2011-01-02,spring,2011,1,13,0,Monday,0,2,0.36,0.3485,0.66,0.1343,11,64,75,14.76,17.424999999999997,66.0,8.9981,10-20°C,50-75%,False,1,2011,0-10 kmh,Afternoon (12-18)
38,2011-01-02,spring,2011,1,14,0,Monday,0,3,0.36,0.3485,0.76,0.194,4,55,59,14.76,17.424999999999997,76.0,12.998000000000001,10-20°C,75-100%,False,1,2011,0-10 kmh,Afternoon (12-18)
39,2011-01-02,spring,2011,1,15,0,Monday,0,3,0.34,0.3333,0.81,0.1642,19,55,74,13.940000000000001,16.665,81.0,11.0014,10-20°C,75-100%,False,1,2011,0-10 kmh,Afternoon (12-18)
40,2011-01-02,spring,2011,1,16,0,Monday,0,3,0.34,0.3333,0.71,0.1642,9,67,76,13.940000000000001,16.665,71.0,11.0014,10-20°C,50-75%,False,1,2011,0-10 kmh,Afternoon (12-18)
41,2011-01-02,spring,2011,1,17,0,Monday,0,1,0.34,0.3333,0.57,0.194,7,58,65,13.940000000000001,16.665,56.99999999999999,12.998000000000001,10-20°C,50-75%,False,1,2011,0-10 kmh,Afternoon (12-18)
42,2011-01-02,spring,2011,1,18,0,Monday,0,2,0.36,0.3333,0.46,0.3284,10,43,53,14.76,16.665,46.0,22.0028,10-20°C,25-50%,False,1,2011,20-30 kmh,Afternoon (12-18)
43,2011-01-02,spring,2011,1,19,0,Monday,0,1,0.32,0.2879,0.42,0.4478,1,29,30,13.120000000000001,14.395,42.0,30.002599999999997,10-20°C,25-50%,False,1,2011,20-30 kmh,Evening (18-24)
44,2011-01-02,spring,2011,1,20,0,Monday,0,1,0.3,0.2727,0.39,0.3582,5,17,22,12.299999999999999,13.635,39.0,23.9994,10-20°C,25-50%,False,1,2011,20-30 kmh,Evening (18-24)
45,2011-01-02,spring,2011,1,21,0,Monday,0,1,0.26,0.2273,0.44,0.3284,11,20,31,10.66,11.365,44.0,22.0028,10-20°C,25-50%,False,1,2011,20-30 kmh,Evening (18-24)
46,2011-01-02,spring,2011,1,22,0,Monday,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9.84,10.605,44.0,19.999499999999998,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
47,2011-01-02,spring,2011,1,23,0,Monday,0,1,0.22,0.2273,0.47,0.1642,0,8,8,9.02,11.365,47.0,11.0014,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
48,2011-01-03,spring,2011,1,0,0,Tuesday,1,1,0.22,0.197,0.44,0.3582,0,5,5,9.02,9.85,44.0,23.9994,0-10°C,25-50%,False,1,2011,20-30 kmh,Night (0-6)
49,2011-01-03,spring,2011,1,1,0,Tuesday,1,1,0.2,0.1667,0.44,0.4179,0,2,2,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0-10°C,25-50%,False,1,2011,20-30 kmh,Night (0-6)
50,2011-01-03,spring,2011,1,4,0,Tuesday,1,1,0.16,0.1364,0.47,0.3881,0,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0-10°C,25-50%,False,1,2011,20-30 kmh,Night (0-6)
51,2011-01-03,spring,2011,1,5,0,Tuesday,1,1,0.16,0.1364,0.47,0.2836,0,3,3,6.5600000000000005,6.819999999999999,47.0,19.0012,0-10°C,25-50%,False,1,2011,0-10 kmh,Night (0-6)
52,2011-01-03,spring,2011,1,6,0,Tuesday,1,1,0.14,0.1061,0.5,0.3881,0,30,30,5.74,5.305,50.0,26.0027,0-10°C,25-50%,False,1,2011,20-30 kmh,Night (0-6)
53,2011-01-03,spring,2011,1,7,0,Tuesday,1,1,0.14,0.1364,0.5,0.194,1,63,64,5.74,6.819999999999999,50.0,12.998000000000001,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
54,2011-01-03,spring,2011,1,8,0,Tuesday,1,1,0.14,0.1212,0.5,0.2836,1,153,154,5.74,6.0600000000000005,50.0,19.0012,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
55,2011-01-03,spring,2011,1,9,0,Tuesday,1,1,0.16,0.1364,0.43,0.3881,7,81,88,6.5600000000000005,6.819999999999999,43.0,26.0027,0-10°C,25-50%,False,1,2011,20-30 kmh,Morning (6-12)
56,2011-01-03,spring,2011,1,10,0,Tuesday,1,1,0.18,0.1667,0.43,0.2537,11,33,44,7.38,8.334999999999999,43.0,16.997899999999998,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
57,2011-01-03,spring,2011,1,11,0,Tuesday,1,1,0.2,0.1818,0.4,0.3284,10,41,51,8.200000000000001,9.09,40.0,22.0028,0-10°C,25-50%,False,1,2011,20-30 kmh,Morning (6-12)
58,2011-01-03,spring,2011,1,12,0,Tuesday,1,1,0.22,0.2121,0.35,0.2985,13,48,61,9.02,10.605,35.0,19.999499999999998,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
59,2011-01-03,spring,2011,1,13,0,Tuesday,1,1,0.24,0.2121,0.35,0.2836,8,53,61,9.84,10.605,35.0,19.0012,0-10°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
60,2011-01-03,spring,2011,1,14,0,Tuesday,1,1,0.26,0.2424,0.3,0.2836,11,66,77,10.66,12.120000000000001,30.0,19.0012,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
61,2011-01-03,spring,2011,1,15,0,Tuesday,1,1,0.26,0.2424,0.3,0.2537,14,58,72,10.66,12.120000000000001,30.0,16.997899999999998,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
62,2011-01-03,spring,2011,1,16,0,Tuesday,1,1,0.26,0.2424,0.3,0.2537,9,67,76,10.66,12.120000000000001,30.0,16.997899999999998,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
63,2011-01-03,spring,2011,1,17,0,Tuesday,1,1,0.24,0.2273,0.3,0.2239,11,146,157,9.84,11.365,30.0,15.001299999999999,0-10°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
64,2011-01-03,spring,2011,1,18,0,Tuesday,1,1,0.24,0.2576,0.32,0.1045,9,148,157,9.84,12.879999999999999,32.0,7.0015,0-10°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
65,2011-01-03,spring,2011,1,19,0,Tuesday,1,1,0.2,0.2576,0.47,0.0,8,102,110,8.200000000000001,12.879999999999999,47.0,0.0,0-10°C,25-50%,False,1,2011,,Evening (18-24)
66,2011-01-03,spring,2011,1,20,0,Tuesday,1,1,0.2,0.2273,0.47,0.1045,3,49,52,8.200000000000001,11.365,47.0,7.0015,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
67,2011-01-03,spring,2011,1,21,0,Tuesday,1,1,0.18,0.197,0.64,0.1343,3,49,52,7.38,9.85,64.0,8.9981,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
68,2011-01-03,spring,2011,1,22,0,Tuesday,1,1,0.14,0.1515,0.69,0.1343,0,20,20,5.74,7.575,69.0,8.9981,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
69,2011-01-03,spring,2011,1,23,0,Tuesday,1,1,0.18,0.2121,0.55,0.1045,1,11,12,7.38,10.605,55.00000000000001,7.0015,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
70,2011-01-04,spring,2011,1,0,0,Wednesday,1,1,0.16,0.1818,0.55,0.1045,0,5,5,6.5600000000000005,9.09,55.00000000000001,7.0015,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
71,2011-01-04,spring,2011,1,1,0,Wednesday,1,1,0.16,0.1818,0.59,0.1045,0,2,2,6.5600000000000005,9.09,59.0,7.0015,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
72,2011-01-04,spring,2011,1,2,0,Wednesday,1,1,0.14,0.1515,0.63,0.1343,0,1,1,5.74,7.575,63.0,8.9981,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
73,2011-01-04,spring,2011,1,4,0,Wednesday,1,1,0.14,0.1818,0.63,0.0896,0,2,2,5.74,9.09,63.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
74,2011-01-04,spring,2011,1,5,0,Wednesday,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4.92,7.575,68.0,7.0015,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
75,2011-01-04,spring,2011,1,6,0,Wednesday,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4.92,7.575,74.0,7.0015,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
76,2011-01-04,spring,2011,1,7,0,Wednesday,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4.92,7.575,74.0,8.9981,0-10°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
77,2011-01-04,spring,2011,1,8,0,Wednesday,1,1,0.14,0.1515,0.69,0.1642,2,177,179,5.74,7.575,69.0,11.0014,0-10°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
78,2011-01-04,spring,2011,1,9,0,Wednesday,1,1,0.16,0.1515,0.64,0.2239,2,98,100,6.5600000000000005,7.575,64.0,15.001299999999999,0-10°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
79,2011-01-04,spring,2011,1,10,0,Wednesday,1,2,0.16,0.1364,0.69,0.3284,5,37,42,6.5600000000000005,6.819999999999999,69.0,22.0028,0-10°C,50-75%,False,1,2011,20-30 kmh,Morning (6-12)
80,2011-01-04,spring,2011,1,11,0,Wednesday,1,1,0.22,0.2121,0.51,0.2985,7,50,57,9.02,10.605,51.0,19.999499999999998,0-10°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
81,2011-01-04,spring,2011,1,12,0,Wednesday,1,1,0.22,0.2273,0.51,0.1642,12,66,78,9.02,11.365,51.0,11.0014,0-10°C,50-75%,False,1,2011,0-10 kmh,Morning (6-12)
82,2011-01-04,spring,2011,1,13,0,Wednesday,1,1,0.24,0.2273,0.56,0.194,18,79,97,9.84,11.365,56.00000000000001,12.998000000000001,0-10°C,50-75%,False,1,2011,0-10 kmh,Afternoon (12-18)
83,2011-01-04,spring,2011,1,14,0,Wednesday,1,1,0.26,0.2576,0.52,0.2239,9,54,63,10.66,12.879999999999999,52.0,15.001299999999999,10-20°C,50-75%,False,1,2011,0-10 kmh,Afternoon (12-18)
84,2011-01-04,spring,2011,1,15,0,Wednesday,1,1,0.28,0.2727,0.52,0.2537,17,48,65,11.48,13.635,52.0,16.997899999999998,10-20°C,50-75%,False,1,2011,0-10 kmh,Afternoon (12-18)
85,2011-01-04,spring,2011,1,16,0,Wednesday,1,1,0.3,0.2879,0.49,0.2537,15,68,83,12.299999999999999,14.395,49.0,16.997899999999998,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
86,2011-01-04,spring,2011,1,17,0,Wednesday,1,1,0.28,0.2727,0.48,0.2239,10,202,212,11.48,13.635,48.0,15.001299999999999,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
87,2011-01-04,spring,2011,1,18,0,Wednesday,1,1,0.26,0.2576,0.48,0.194,3,179,182,10.66,12.879999999999999,48.0,12.998000000000001,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
88,2011-01-04,spring,2011,1,19,0,Wednesday,1,1,0.24,0.2576,0.48,0.1045,2,110,112,9.84,12.879999999999999,48.0,7.0015,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
89,2011-01-04,spring,2011,1,20,0,Wednesday,1,1,0.24,0.2576,0.48,0.1045,1,53,54,9.84,12.879999999999999,48.0,7.0015,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
90,2011-01-04,spring,2011,1,21,0,Wednesday,1,1,0.22,0.2727,0.64,0.0,0,48,48,9.02,13.635,64.0,0.0,0-10°C,50-75%,False,1,2011,,Evening (18-24)
91,2011-01-04,spring,2011,1,22,0,Wednesday,1,1,0.22,0.2576,0.64,0.0896,1,34,35,9.02,12.879999999999999,64.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
92,2011-01-04,spring,2011,1,23,0,Wednesday,1,1,0.2,0.2273,0.69,0.0896,2,9,11,8.200000000000001,11.365,69.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
93,2011-01-05,spring,2011,1,0,0,Thursday,1,1,0.2,0.2576,0.64,0.0,0,6,6,8.200000000000001,12.879999999999999,64.0,0.0,0-10°C,50-75%,False,1,2011,,Night (0-6)
94,2011-01-05,spring,2011,1,1,0,Thursday,1,1,0.16,0.197,0.74,0.0896,0,6,6,6.5600000000000005,9.85,74.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
95,2011-01-05,spring,2011,1,2,0,Thursday,1,1,0.16,0.197,0.74,0.0896,0,2,2,6.5600000000000005,9.85,74.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
96,2011-01-05,spring,2011,1,4,0,Thursday,1,1,0.24,0.2273,0.48,0.2239,0,2,2,9.84,11.365,48.0,15.001299999999999,0-10°C,25-50%,False,1,2011,0-10 kmh,Night (0-6)
97,2011-01-05,spring,2011,1,5,0,Thursday,1,1,0.22,0.2273,0.47,0.1642,0,3,3,9.02,11.365,47.0,11.0014,0-10°C,25-50%,False,1,2011,0-10 kmh,Night (0-6)
98,2011-01-05,spring,2011,1,6,0,Thursday,1,1,0.2,0.197,0.47,0.2239,0,33,33,8.200000000000001,9.85,47.0,15.001299999999999,0-10°C,25-50%,False,1,2011,0-10 kmh,Night (0-6)
99,2011-01-05,spring,2011,1,7,0,Thursday,1,1,0.18,0.1818,0.43,0.194,1,87,88,7.38,9.09,43.0,12.998000000000001,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
100,2011-01-05,spring,2011,1,8,0,Thursday,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8.200000000000001,9.09,40.0,19.999499999999998,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
101,2011-01-05,spring,2011,1,9,0,Thursday,1,1,0.22,0.197,0.37,0.3284,6,109,115,9.02,9.85,37.0,22.0028,0-10°C,25-50%,False,1,2011,20-30 kmh,Morning (6-12)
102,2011-01-05,spring,2011,1,10,0,Thursday,1,1,0.22,0.197,0.37,0.3284,4,53,57,9.02,9.85,37.0,22.0028,0-10°C,25-50%,False,1,2011,20-30 kmh,Morning (6-12)
103,2011-01-05,spring,2011,1,11,0,Thursday,1,1,0.26,0.2273,0.33,0.3284,12,34,46,10.66,11.365,33.0,22.0028,10-20°C,25-50%,False,1,2011,20-30 kmh,Morning (6-12)
104,2011-01-05,spring,2011,1,12,0,Thursday,1,1,0.26,0.2273,0.33,0.3284,5,74,79,10.66,11.365,33.0,22.0028,10-20°C,25-50%,False,1,2011,20-30 kmh,Morning (6-12)
105,2011-01-05,spring,2011,1,13,0,Thursday,1,1,0.28,0.2576,0.3,0.2985,6,65,71,11.48,12.879999999999999,30.0,19.999499999999998,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
106,2011-01-05,spring,2011,1,14,0,Thursday,1,1,0.3,0.2879,0.28,0.194,10,52,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
107,2011-01-05,spring,2011,1,15,0,Thursday,1,1,0.3,0.2879,0.28,0.194,7,55,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
108,2011-01-05,spring,2011,1,16,0,Thursday,1,1,0.3,0.3182,0.28,0.0896,4,85,89,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,10-20°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
109,2011-01-05,spring,2011,1,17,0,Thursday,1,1,0.24,0.2273,0.38,0.194,4,186,190,9.84,11.365,38.0,12.998000000000001,0-10°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
110,2011-01-05,spring,2011,1,18,0,Thursday,1,1,0.24,0.2424,0.38,0.1343,3,166,169,9.84,12.120000000000001,38.0,8.9981,0-10°C,25-50%,False,1,2011,0-10 kmh,Afternoon (12-18)
111,2011-01-05,spring,2011,1,19,0,Thursday,1,1,0.24,0.2576,0.38,0.1045,5,127,132,9.84,12.879999999999999,38.0,7.0015,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
112,2011-01-05,spring,2011,1,20,0,Thursday,1,1,0.22,0.2273,0.47,0.1642,7,82,89,9.02,11.365,47.0,11.0014,0-10°C,25-50%,False,1,2011,0-10 kmh,Evening (18-24)
113,2011-01-05,spring,2011,1,21,0,Thursday,1,1,0.2,0.197,0.51,0.194,3,40,43,8.200000000000001,9.85,51.0,12.998000000000001,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
114,2011-01-05,spring,2011,1,22,0,Thursday,1,1,0.18,0.197,0.55,0.1343,1,41,42,7.38,9.85,55.00000000000001,8.9981,0-10°C,50-75%,False,1,2011,0-10 kmh,Evening (18-24)
115,2011-01-05,spring,2011,1,23,0,Thursday,1,1,0.2,0.2576,0.47,0.0,1,18,19,8.200000000000001,12.879999999999999,47.0,0.0,0-10°C,25-50%,False,1,2011,,Evening (18-24)
116,2011-01-06,spring,2011,1,0,0,Friday,1,1,0.18,0.2424,0.55,0.0,0,11,11,7.38,12.120000000000001,55.00000000000001,0.0,0-10°C,50-75%,False,1,2011,,Night (0-6)
117,2011-01-06,spring,2011,1,1,0,Friday,1,1,0.16,0.2273,0.64,0.0,0,4,4,6.5600000000000005,11.365,64.0,0.0,0-10°C,50-75%,False,1,2011,,Night (0-6)
118,2011-01-06,spring,2011,1,2,0,Friday,1,1,0.16,0.2273,0.64,0.0,0,2,2,6.5600000000000005,11.365,64.0,0.0,0-10°C,50-75%,False,1,2011,,Night (0-6)
119,2011-01-06,spring,2011,1,4,0,Friday,1,2,0.16,0.197,0.64,0.0896,0,1,1,6.5600000000000005,9.85,64.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
120,2011-01-06,spring,2011,1,5,0,Friday,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.74,9.09,69.0,6.0032,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
121,2011-01-06,spring,2011,1,6,0,Friday,1,2,0.14,0.1667,0.63,0.1045,0,36,36,5.74,8.334999999999999,63.0,7.0015,0-10°C,50-75%,False,1,2011,0-10 kmh,Night (0-6)
122,2011-01-06,spring,2011,1,7,0,Friday,1,2,0.16,0.2273,0.59,0.0,0,95,95,6.5600000000000005,11.365,59.0,0.0,0-10°C,50-75%,False,1,2011,,Morning (6-12)
123,2011-01-06,spring,2011,1,8,0,Friday,1,1,0.16,0.2273,0.59,0.0,3,216,219,6.5600000000000005,11.365,59.0,0.0,0-10°C,50-75%,False,1,2011,,Morning (6-12)
124,2011-01-06,spring,2011,1,9,0,Friday,1,2,0.18,0.2424,0.51,0.0,6,116,122,7.38,12.120000000000001,51.0,0.0,0-10°C,50-75%,False,1,2011,,Morning (6-12)
125,2011-01-06,spring,2011,1,10,0,Friday,1,1,0.2,0.2576,0.47,0.0,3,42,45,8.200000000000001,12.879999999999999,47.0,0.0,0-10°C,25-50%,False,1,2011,,Morning (6-12)
126,2011-01-06,spring,2011,1,11,0,Friday,1,1,0.22,0.2576,0.44,0.0896,2,57,59,9.02,12.879999999999999,44.0,6.0032,0-10°C,25-50%,False,1,2011,0-10 kmh,Morning (6-12)
